"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Ceremony","CeremonyYear"
"Best Actor",NA,"Limelight","Event-18-1952","tt0044837","Limelight","nm0000122","Charles Chaplin",NA,NA,"018","1952"
"Best Actress","Winner","Come Back, Little Sheba","Event-18-1952","tt0044509","Come Back, Little Sheba","nm0095804","Shirley Booth",NA,NA,"018","1952"
"Best Actress",NA,"The African Queen","Event-18-1952","tt0043265","The African Queen","nm0000031","Katharine Hepburn",NA,NA,"018","1952"
"Best Actress",NA,NA,"Event-18-1952",NA,NA,NA,NA,NA,NA,"018","1952"
"Best Director","Winner","High Noon","Event-18-1952","tt0044706","High Noon","nm0003593","Fred Zinnemann",NA,NA,"018","1952"
"Best Director",NA,"The African Queen","Event-18-1952","tt0043265","The African Queen","nm0001379","John Huston",NA,NA,"018","1952"
"Best Director",NA,"The Greatest Show on Earth","Event-18-1952","tt0044672","The Greatest Show on Earth","nm0001124","Cecil B. DeMille",NA,NA,"018","1952"
"Best Director",NA,"Limelight","Event-18-1952","tt0044837","Limelight","nm0000122","Charles Chaplin",NA,NA,"018","1952"
"Best Director",NA,"The Sound Barrier","Event-18-1952","tt0044446","The Sound Barrier","nm0000180","David Lean",NA,NA,"018","1952"
"Best Film","Winner",NA,"Event-18-1952","tt0044706","High Noon",NA,NA,NA,NA,"018","1952"
"Best Film",NA,NA,"Event-18-1952","tt0043265","The African Queen",NA,NA,NA,NA,"018","1952"
"Best Film",NA,NA,"Event-18-1952","tt0044446","The Sound Barrier",NA,NA,NA,NA,"018","1952"
"Best Foreign Language Film","Winner",NA,"Event-18-1952","tt0043686","Forbidden Games",NA,NA,NA,NA,"018","1952"
"Best Foreign Language Film",NA,NA,"Event-18-1952","tt0041271","The White Line",NA,NA,NA,NA,"018","1952"
"Best Actor","Winner","From Here to Eternity","Event-19-1953","tt0045793","From Here to Eternity","nm0000044","Burt Lancaster",NA,NA,"019","1953"
"Best Actor",NA,"Julius Caesar","Event-19-1953","tt0045943","Julius Caesar","nm0000024","John Gielgud",NA,NA,"019","1953"
"Best Actor",NA,"Stalag 17","Event-19-1953","tt0046359","Stalag 17","nm0000034","William Holden",NA,NA,"019","1953"
"Best Actress","Winner","Roman Holiday","Event-19-1953","tt0046250","Roman Holiday","nm0000030","Audrey Hepburn",NA,NA,"019","1953"
"Best Actress",NA,"Mogambo","Event-19-1953","tt0046085","Mogambo","nm0001257","Ava Gardner",NA,NA,"019","1953"
"Best Director","Winner","From Here to Eternity","Event-19-1953","tt0045793","From Here to Eternity","nm0003593","Fred Zinnemann",NA,NA,"019","1953"
"Best Director",NA,"Shane","Event-19-1953","tt0046303","Shane","nm0828419","George Stevens",NA,NA,"019","1953"
"Best Film","Winner",NA,"Event-19-1953","tt0045793","From Here to Eternity",NA,NA,NA,NA,"019","1953"
"Best Film",NA,NA,"Event-19-1953","tt0045646","The Conquest of Everest",NA,NA,NA,NA,"019","1953"
"Best Film",NA,NA,"Event-19-1953","tt0046250","Roman Holiday",NA,NA,NA,NA,"019","1953"
"Best Foreign Language Film","Winner",NA,"Event-19-1953","tt0042625","Justice Is Done",NA,NA,NA,NA,"019","1953"
"Best Foreign Language Film",NA,NA,"Event-19-1953","tt0043918","The Little World of Don Camillo",NA,NA,NA,NA,"019","1953"
"Best Actor","Winner","Dodsworth","Event-2-1936","tt0027532","Dodsworth","nm0404158","Walter Huston",NA,NA,"002","1936"
"Best Actor",NA,"Fury","Event-2-1936","tt0027652","Fury","nm0000075","Spencer Tracy",NA,NA,"002","1936"
