"Const","Year","Title","Title.Type","IMDb.Rating","Your.Rating","Date.Rated","Runtime","Num.Votes"
"tt0052696",1959,"City of Fear","movie",6.4,NA,NA,81,1548
"tt0054189",1960,"Plein soleil","movie",7.7,NA,NA,118,18280
"tt0056119",1962,"La jetée","short",8.2,NA,NA,28,36174
"tt0064620",1969,"La madriguera","movie",6.5,NA,NA,102,350
"tt0065488",1970,"The Boys in the Band","movie",7.6,NA,NA,118,5687
"tt0071615",1973,"La montaña sagrada","movie",7.8,NA,NA,114,46462
"tt5822888",1974,"Ayn Aqli","movie",6.6,NA,NA,118,135
"tt0073198",1975,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles","movie",7.5,NA,NA,202,12875
"tt0337698",1978,"Promise of Love","movie",5.3,NA,NA,148,30
"tt0333058",1979,"Afanti","movie",7.5,NA,NA,96,25
"tt1220568",1979,"Liu chao guai tan","movie",6.8,NA,NA,90,34
"tt0081991",1981,"Agoniya","movie",7,NA,NA,151,1651
"tt0083798",1982,"Dead Men Don't Wear Plaid","movie",6.8,NA,NA,88,23147
"tt0091605",1986,"Der Name der Rose","movie",7.7,NA,NA,130,113827
"tt0092576",1987,"Deliria","movie",6.6,NA,NA,90,8801
"tt0099939",1990,"King of New York","movie",6.9,NA,NA,103,40519
"tt0103919",1992,"Candyman","movie",6.7,NA,NA,99,97359
"tt0109462",1994,"Coming Out Under Fire","movie",7.5,NA,NA,72,180
"tt0113247",1995,"La haine","movie",8.1,NA,NA,98,188073
"tt0114095",1995,"Party Girl","movie",6.5,NA,NA,94,6118
"tt0112651",1995,"The Celluloid Closet","movie",7.8,NA,NA,102,7360
"tt0278558",1996,"Menteur","short",6.6,NA,NA,20,36
"tt0116922",1997,"Lost Highway","movie",7.6,NA,NA,134,149687
"tt0118767",1997,"Brat","movie",7.8,NA,NA,96,23457
"tt0245540",2001,"Varian's War","tvMovie",6.3,NA,NA,121,893
"tt0364569",2003,"Oldeuboi","movie",8.4,NA,NA,120,613054
"tt0469695",2005,"Spiele Leben","movie",6.3,NA,NA,98,227
"tt0485092",2005,"Basain","movie",8.5,NA,NA,90,34
"tt0855843",2007,"Jas sum od Titov Veles","movie",6.2,NA,NA,102,614
"tt1142826",2007,"Diorthosi","movie",5.9,NA,NA,87,176
"tt0920466",2007,"Nuits d'Arabie","movie",6.6,NA,NA,110,96
"tt1147686",2008,"Dare mo mamotte kurenai","movie",6.8,NA,NA,118,355
"tt1173959",2008,"Oi sklavoi sta desma tous","movie",6,NA,NA,127,151
"tt1267449",2008,"Cuvari noci","movie",5.1,NA,NA,87,61
"tt1373122",2008,"Los dioses rotos","movie",6,NA,NA,97,106
"tt1334469",2008,"Qala","movie",7,NA,NA,83,42
"tt1313270",2008,"Zhu meng","movie",6.3,NA,NA,94,32
"tt1191128",2008,"Mediator","movie",8.2,NA,NA,92,82
"tt1043565",2008,"Tengri","movie",6.7,NA,NA,96,159
"tt0977651",2008,"Der Freund","movie",7.1,NA,NA,87,148
"tt1334009",2008,"Illyuziya strakha","movie",5.6,NA,NA,80,109
"tt1338611",2008,"Hope Eternal","movie",7.2,NA,NA,120,20
"tt0441328",2009,"Ocas jesterky","movie",6.8,NA,NA,90,43
"tt0447692",2009,"Réfractaire","movie",5.4,NA,NA,97,76
"tt1124364",2009,"Tayna Chingis Khaana","movie",4.6,NA,NA,127,473
"tt1192412",2009,"Kabo & Platon","movie",6.4,NA,NA,90,27
"tt1503767",2009,"Britter Bairey","movie",7.5,NA,NA,87,45
"tt1517148",2009,"Alive","movie",6.7,NA,NA,90,233
"tt1526317",2009,"Zona sur","movie",6.5,NA,NA,108,384
"tt1527824",2009,"Libertador Morales, el justiciero","movie",5.5,NA,NA,102,71
"tt1532498",2009,"Autumn of the Magician","movie",5,NA,NA,53,27
"tt2268732",2012,"Museum Hours","movie",6.9,NA,NA,107,2248
"tt3109410",2012,"Insurgentes","movie",5.3,NA,NA,83,40
"tt2446600",2014,"Next Goal Wins","movie",7.8,NA,NA,97,2800
"tt4692234",2015,"As Mil e Uma Noites - Volume 2: O Desolado","movie",7.1,NA,NA,131,1551
"tt4481414",2017,"Gifted","movie",7.6,NA,NA,101,126164
"tt10533360",2020,"Halkara","movie",9.4,NA,NA,110,35
"tt15583714",2021,"In den Uffizien","movie",6.9,NA,NA,96,35
"tt14463426",2021,"The Exam","movie",7,NA,NA,89,237
"tt15131982",2021,"Imaculat","movie",6.1,NA,NA,114,408
"tt23146784",2021,"Yaradanlar","movie",NA,NA,NA,61,NA
