"item","imdb","genre_id","genre"
"http://www.wikidata.org/entity/Q59725758","tt8844480","http://www.wikidata.org/entity/Q859369","comedy drama"
"http://www.wikidata.org/entity/Q64768521","tt10423148","http://www.wikidata.org/entity/Q860626","romantic comedy"
"http://www.wikidata.org/entity/Q10924770","tt0276484","http://www.wikidata.org/entity/Q1054574","romance film"
"http://www.wikidata.org/entity/Q24806864","tt6419748","http://www.wikidata.org/entity/Q1054574","romance film"
"http://www.wikidata.org/entity/Q85725210","tt7725384","http://www.wikidata.org/entity/Q1054574","romance film"
"http://www.wikidata.org/entity/Q65169610","tt10052290","http://www.wikidata.org/entity/Q17013749","historical film"
"http://www.wikidata.org/entity/Q85725210","tt7725384","http://www.wikidata.org/entity/Q17013749","historical film"
"http://www.wikidata.org/entity/Q106582591","tt13475392","http://www.wikidata.org/entity/Q17013749","historical film"
"http://www.wikidata.org/entity/Q61116726","tt9020536","http://www.wikidata.org/entity/Q2297927","spy film"
"http://www.wikidata.org/entity/Q25394498","tt0301848","http://www.wikidata.org/entity/Q2484376","thriller film"
"http://www.wikidata.org/entity/Q58918041","tt9173586","http://www.wikidata.org/entity/Q2484376","thriller film"
"http://www.wikidata.org/entity/Q56311615","tt0255710","http://www.wikidata.org/entity/Q52162262","film based on literature"
"http://www.wikidata.org/entity/Q79871099","tt2360370","http://www.wikidata.org/entity/Q4164344","documentary"
"http://www.wikidata.org/entity/Q104879970","tt13081086","http://www.wikidata.org/entity/Q5778924","black comedy film"
"http://www.wikidata.org/entity/Q3505774","tt0160344","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q4762042","tt1208664","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q6471168","tt0124890","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q6541177","tt0175494","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q7235915","tt0098111","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q11748162","tt7598062","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q11764073","tt0170177","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q11818835","tt0058469","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q11974082","tt0150819","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q14757265","tt0293316","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q21401863","tt0057661","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q22688467","tt5461252","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q26220678","tt0064835","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q28750064","tt0180932","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q31185307","tt0084394","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q104450534","tt0085565","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q106097549","tt0041805","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q10725716","tt0016945","http://www.wikidata.org/entity/Q93204","documentary film"
"http://www.wikidata.org/entity/Q3129966","tt0250313","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q24276062","tt0143810","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q64768038","tt9420498","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q7783672","tt0378661","http://www.wikidata.org/entity/Q200092","horror film"
"http://www.wikidata.org/entity/Q73457","tt0907798","http://www.wikidata.org/entity/Q369747","war film"
"http://www.wikidata.org/entity/Q16565451","tt0084193","http://www.wikidata.org/entity/Q369747","war film"
"http://www.wikidata.org/entity/Q11748162","tt7598062","http://www.wikidata.org/entity/Q459290","independent film"
"http://www.wikidata.org/entity/Q61124325","tt0171602","http://www.wikidata.org/entity/Q336144","anthology film"
"http://www.wikidata.org/entity/Q17001706","tt1023445","http://www.wikidata.org/entity/Q599558","erotic film"
"http://www.wikidata.org/entity/Q25469143","tt1482246","http://www.wikidata.org/entity/Q645928","biographical film"
"http://www.wikidata.org/entity/Q43303127","tt8563028","http://www.wikidata.org/entity/Q645928","biographical film"
"http://www.wikidata.org/entity/Q14757265","tt0293316","http://www.wikidata.org/entity/Q959790","crime film"
"http://www.wikidata.org/entity/Q104450534","tt0085565","http://www.wikidata.org/entity/Q959790","crime film"
"http://www.wikidata.org/entity/Q106097549","tt0041805","http://www.wikidata.org/entity/Q1054574","romance film"
"http://www.wikidata.org/entity/Q97732951","tt6866006","http://www.wikidata.org/entity/Q1361932","family film"
"http://www.wikidata.org/entity/Q97732951","tt6866006","http://www.wikidata.org/entity/Q2143665","children's film"
"http://www.wikidata.org/entity/Q3713624","tt15513676","http://www.wikidata.org/entity/Q859369","comedy drama"
"http://www.wikidata.org/entity/Q7783672","tt0378661","http://www.wikidata.org/entity/Q3072049","zombie film"
"http://www.wikidata.org/entity/Q16084484","tt0174849","http://www.wikidata.org/entity/Q3442060","partisan film"
"http://www.wikidata.org/entity/Q26220678","tt0064835","http://www.wikidata.org/entity/Q3442060","partisan film"
"http://www.wikidata.org/entity/Q4225019","tt0029096","http://www.wikidata.org/entity/Q860626","romantic comedy"
"http://www.wikidata.org/entity/Q48841235","tt5867468","http://www.wikidata.org/entity/Q860626","romantic comedy"
"http://www.wikidata.org/entity/Q7974560","tt0090299","http://www.wikidata.org/entity/Q93204","documentary film"
"http://www.wikidata.org/entity/Q16824348","tt2947610","http://www.wikidata.org/entity/Q93204","documentary film"
"http://www.wikidata.org/entity/Q3863259","tt0084356","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q5270022","tt0287985","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q6963223","tt10127712","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q11772523","tt0066048","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q12472695","tt0288434","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q12477310","tt9028776","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q12516497","tt0293620","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q12751975","tt0062521","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q12754253","tt0181636","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q12758484","tt0173169","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q14755285","tt0411276","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q14756986","tt0123304","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q17997818","tt28487587","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q19744253","tt3180592","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q25470625","tt1067235","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q28750037","tt4399798","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q28750115","tt0189643","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q61359609","tt10394822","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q64582953","tt0141526","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q100269567","tt0208571","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q111141984","tt13938818","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q111655628","tt14509240","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q1479227","tt1650407","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q7733364","tt0215760","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q11973219","tt0033682","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q12472273","tt1045812","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q12512507","tt12173670","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q12516501","tt1152790","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q12752204","tt0217575","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q27590526","tt0168194","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q111655628","tt14509240","http://www.wikidata.org/entity/Q188473","action film"
"http://www.wikidata.org/entity/Q12472695","tt0288434","http://www.wikidata.org/entity/Q842256","musical film"
"http://www.wikidata.org/entity/Q12479624","tt16806812","http://www.wikidata.org/entity/Q859369","comedy drama"
"http://www.wikidata.org/entity/Q12505112","tt0227251","http://www.wikidata.org/entity/Q200092","horror film"
"http://www.wikidata.org/entity/Q1479227","tt1650407","http://www.wikidata.org/entity/Q1146335","teen film"
"http://www.wikidata.org/entity/Q3202577","tt0070942","http://www.wikidata.org/entity/Q1033891","martial arts film"
"http://www.wikidata.org/entity/Q61359609","tt10394822","http://www.wikidata.org/entity/Q1054574","romance film"
"http://www.wikidata.org/entity/Q25470625","tt1067235","http://www.wikidata.org/entity/Q1361932","family film"
"http://www.wikidata.org/entity/Q14755285","tt0411276","http://www.wikidata.org/entity/Q2101714","police film"
"http://www.wikidata.org/entity/Q1479227","tt1650407","http://www.wikidata.org/entity/Q52162262","film based on literature"
"http://www.wikidata.org/entity/Q14755285","tt0411276","http://www.wikidata.org/entity/Q2484376","thriller film"
"http://www.wikidata.org/entity/Q11832620","tt0078093","http://www.wikidata.org/entity/Q2561438","slice of life"
"http://www.wikidata.org/entity/Q14755285","tt0411276","http://www.wikidata.org/entity/Q3178754","Iranian New Wave"
"http://www.wikidata.org/entity/Q18923975","tt9072434","http://www.wikidata.org/entity/Q17013749","historical film"
"http://www.wikidata.org/entity/Q111655628","tt14509240","http://www.wikidata.org/entity/Q17013749","historical film"
"http://www.wikidata.org/entity/Q21647388","tt11957864","http://www.wikidata.org/entity/Q93204","documentary film"
"http://www.wikidata.org/entity/Q77850682","tt0232044","http://www.wikidata.org/entity/Q93204","documentary film"
"http://www.wikidata.org/entity/Q98078773","tt12575636","http://www.wikidata.org/entity/Q93204","documentary film"
"http://www.wikidata.org/entity/Q2382646","tt10170098","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q4639800","tt0107957","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q12471495","tt16996890","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q12472308","tt6687932","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q12475621","tt24787566","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q12505020","tt1042342","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q12525249","tt1227925","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q16254831","tt10295714","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q17073619","tt27910716","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q17999446","tt1066416","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q19600208","tt1579708","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q19744895","tt0300603","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q111672762","tt1638321","http://www.wikidata.org/entity/Q130232","drama film"
"http://www.wikidata.org/entity/Q12481886","tt1152760","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q12497969","tt19886778","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q16670154","tt0119898","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q85307813","tt10514468","http://www.wikidata.org/entity/Q157443","comedy film"
"http://www.wikidata.org/entity/Q15913392","tt3421246","http://www.wikidata.org/entity/Q188473","action film"
"http://www.wikidata.org/entity/Q47002224","tt0107738","http://www.wikidata.org/entity/Q192881","tragicomedy"
"http://www.wikidata.org/entity/Q12498145","tt1304591","http://www.wikidata.org/entity/Q157394","fantasy film"
"http://www.wikidata.org/entity/Q2105797","tt0007009","http://www.wikidata.org/entity/Q226730","silent film"
"http://www.wikidata.org/entity/Q2232626","tt0011280","http://www.wikidata.org/entity/Q226730","silent film"
"http://www.wikidata.org/entity/Q3602619","tt0007112","http://www.wikidata.org/entity/Q226730","silent film"
"http://www.wikidata.org/entity/Q5112809","tt0223852","http://www.wikidata.org/entity/Q226730","silent film"
