"item","imdb","ia"
"http://www.wikidata.org/entity/Q1498484","tt0047878","TheBigComboCornellWilde1955BOO"
"http://www.wikidata.org/entity/Q1498484","tt0047878","the-big-combo-pnm"
"http://www.wikidata.org/entity/Q1498484","tt0047878","TheBigCombo-Vostr-fr"
"http://www.wikidata.org/entity/Q1498484","tt0047878","the-big-combo-1955-remastered-movie-720p-hd"
"http://www.wikidata.org/entity/Q1498484","tt0047878","The_Big_Combo_1955"
"http://www.wikidata.org/entity/Q1498484","tt0047878","Big_Combo_1955"
"http://www.wikidata.org/entity/Q1627957","tt0034906","ItsEvery1945"
"http://www.wikidata.org/entity/Q1660756","tt0048667","strategic.-air.-command.-1955."
"http://www.wikidata.org/entity/Q1779102","tt0046366","AnAmericanWife"
"http://www.wikidata.org/entity/Q2160551","tt0039761","1947-repeat-performance-alfred-l.-werker-vose"
"http://www.wikidata.org/entity/Q2410527","tt0034806","TheGrainThatBuiltAHemisphere"
"http://www.wikidata.org/entity/Q3186995","tt0039517","JourneyIntoMedicine"
"http://www.wikidata.org/entity/Q4558813","tt0034608","CombatReport"
"http://www.wikidata.org/entity/Q4659449","tt0035321","AShipIsBorn"
"http://www.wikidata.org/entity/Q4857586","tt0035662","BaptismOfFire"
"http://www.wikidata.org/entity/Q5575002","tt0043590","go_for_broke_ACM"
"http://www.wikidata.org/entity/Q5575002","tt0043590","Go_for_Broke"
"http://www.wikidata.org/entity/Q5575002","tt0043590","GoForBroke"
"http://www.wikidata.org/entity/Q12107808","tt0052696","cityoffear1959"
"http://www.wikidata.org/entity/Q12107808","tt0052696","1959-city-of-fear-irving-lerner-vose"
"http://www.wikidata.org/entity/Q174513","tt0055257","oneeyedjacks1961"
"http://www.wikidata.org/entity/Q369083","tt0028511","Winterset"
"http://www.wikidata.org/entity/Q839419","tt0037576","CaptainKidd_"
"http://www.wikidata.org/entity/Q842067","tt0057358","winter-light_ingmar-bergman"
"http://www.wikidata.org/entity/Q989531","tt0027869","last-of-the-mohicans-1936-colorized"
"http://www.wikidata.org/entity/Q1169028","tt0045551","beneath_the_12-mile_reef"
"http://www.wikidata.org/entity/Q1169028","tt0045551","BeneathThe12-mileReef1953-FullScreenVersion"
"http://www.wikidata.org/entity/Q1169028","tt0045551","BeneathThe12-mileReef1953"
"http://www.wikidata.org/entity/Q1169028","tt0045551","beneath-the-12-mile-reef-1953_202005"
"http://www.wikidata.org/entity/Q1610106","tt0040512","1948-kiss-the-blood-off-my-hands-sangre-en-las-manos-norman-foster-vose"
"http://www.wikidata.org/entity/Q1631423","tt0047880","thebigknife1955"
"http://www.wikidata.org/entity/Q1631423","tt0047880","1955-the-big-knife-la-podadora-robert-aldrich-vose"
"http://www.wikidata.org/entity/Q2145748","tt0037215","ResistingEnemyInterrogation1944"
"http://www.wikidata.org/entity/Q3040419","tt0037547","BloodontheSun"
"http://www.wikidata.org/entity/Q3040419","tt0037547","Blood_on_the_Sun"
"http://www.wikidata.org/entity/Q3040419","tt0037547","blood-on-the-sun-1945"
"http://www.wikidata.org/entity/Q7745598","tt0037861","TheLastBomb1945"
"http://www.wikidata.org/entity/Q7776761","tt0053461","YoungLand"
"http://www.wikidata.org/entity/Q477472","tt0038192","gov.dod.dimoc.20363"
"http://www.wikidata.org/entity/Q538600","tt0043983","royal_wedding"
"http://www.wikidata.org/entity/Q538600","tt0043983","RoyalWedding720p1951"
"http://www.wikidata.org/entity/Q1167592","tt0034928","JungleBook"
"http://www.wikidata.org/entity/Q1332246","tt0040767","TheSecretLand"
"http://www.wikidata.org/entity/Q1347783","tt0046126","1953niagarahhathaway"
"http://www.wikidata.org/entity/Q1347783","tt0046126","niagara-1953-torrentes-de-paixao"
"http://www.wikidata.org/entity/Q1890292","tt0029209","ManhattanMerryGoRound"
"http://www.wikidata.org/entity/Q3018061","tt0036430","this_is_the_army"
"http://www.wikidata.org/entity/Q3018061","tt0036430","this_is_the_army_mp4"
"http://www.wikidata.org/entity/Q5615123","tt0036886","GuestInTheHouse1944_573"
"http://www.wikidata.org/entity/Q5615123","tt0036886","1944-guest-in-the-house-semilla-de-odio-john-brahm-vose"
"http://www.wikidata.org/entity/Q5615123","tt0036886","GuestInTheHouse1944"
"http://www.wikidata.org/entity/Q5615123","tt0036886","1944-guest-in-the-house-semilla-de-odio-john-brahm-vo_202011"
"http://www.wikidata.org/entity/Q5616381","tt0042529","Guilty_Bystander_5067"
"http://www.wikidata.org/entity/Q5616381","tt0042529","1950-guilty-bystander-joseph-lerner-vose"
"http://www.wikidata.org/entity/Q7070194","tt0031737","NurseEdithCavell"
"http://www.wikidata.org/entity/Q7759101","tt0040717","the_quiet_one"
